,Dep,Code,X,Y
0,-39,GRANITE,249.2134831460674,51.46067415730337
1,-38,GRANITE,249.2134831460674,51.46067415730337
2,-37,GRANITE,249.2134831460674,51.46067415730337
3,-36,GRANITE,249.2134831460674,51.46067415730337
4,-35,GRANITE,249.2134831460674,51.46067415730337
5,-34,GRANITE,249.2134831460674,51.46067415730337
6,-33,GRANITE,249.2134831460674,51.46067415730337
7,-32,GRANITE,249.2134831460674,51.46067415730337
8,-31,GRANITE,249.2134831460674,51.46067415730337
9,-30,GRANITE,249.2134831460674,51.46067415730337
10,-29,GRANITE,249.2134831460674,51.46067415730337
11,-28,GRANITE,249.2134831460674,51.46067415730337
12,-27,GRANITE,249.2134831460674,51.46067415730337
13,-26,GRANITE,249.2134831460674,51.46067415730337
14,-25,GRANITE,249.2134831460674,51.46067415730337
15,-24,GRANITE,249.2134831460674,51.46067415730337
16,-23,CDG,249.2134831460674,51.46067415730337
17,-22,CDG,249.2134831460674,51.46067415730337
18,-21,CDG,249.2134831460674,51.46067415730337
19,-20,SAND,249.2134831460674,51.46067415730337
20,-19,SAND,249.2134831460674,51.46067415730337
21,-18,CLAY,249.2134831460674,51.46067415730337
22,-17,CLAY,249.2134831460674,51.46067415730337
23,-16,CLAY,249.2134831460674,51.46067415730337
24,-15,CLAY,249.2134831460674,51.46067415730337
25,-14,CLAY,249.2134831460674,51.46067415730337
26,-13,CLAY,249.2134831460674,51.46067415730337
27,-12,CLAY,249.2134831460674,51.46067415730337
28,-11,CLAY,249.2134831460674,51.46067415730337
29,-10,CLAY,249.2134831460674,51.46067415730337
30,-9,MUD,249.2134831460674,51.46067415730337
31,-8,MUD,249.2134831460674,51.46067415730337
32,-7,MUD,249.2134831460674,51.46067415730337
33,-6,MUD,249.2134831460674,51.46067415730337
34,-5,MUD,249.2134831460674,51.46067415730337
35,-4,MUD,249.2134831460674,51.46067415730337
36,-3,MUD,249.2134831460674,51.46067415730337
37,-2,MUD,249.2134831460674,51.46067415730337
